hdd journal_jac_delalloc_1024/
1378000 2813000
1365000 2782000
166 632
0 1
161 561
0 166500
160 615
0 1
161 640
12 104100
152 662
18 1
153 717
73 1
116 762
167 763
168 792
530000 437000
403000 69900
252000 17000
416000 669000
459000 87300
306700 26403
552000 4650000
648000 4672000
634000 4582000
552000 4932000
691000 4715000
684000 4807000
671000 5283000
747000 5204000
727000 5100000
166 648
0 1
163 572
0 0
165 631
0 37770
160 636
16 9816
148 659
14 4
158 710
71 196900
116 756
168 776
168 773
720000 446000
487000 85200
284000 711000
552000 3080000
580000 1774000
368100 1699000
794000 3484000
948000 3594000
962000 3600000
804000 3089000
1096000 2957000
1069000 3074000
1099000 2828000
1290000 2802000
1270000 2776000
166 631
0 1
160 588
0 0
160 613
0 86099
160 636
14 0
152 669
17 1
155 713
72 2
119 760
172 773
172 760
hdd writeback_jac_delalloc_4096/
788000 552000
587000 491000
375000 2574000
535000 3705000
568000 3399000
420000 3559000
736000 3538000
892000 3502000
766000 3570000
805000 2980000
1035000 2888000
865000 3009000
1316000 2771000
1381000 2738000
1353000 2709000
164 747
105 140
146 584
125 692
101 565
168 379
94 582
141 26300
129 562
150 439
141 607
163 96700
154 721000
172 749
172 781
587000 564000
433000 457000
343000 17900
472000 1236000
479000 669000
401000 1635000
541000 4712000
648000 4668000
636000 4582000
599000 4943000
707000 4902000
666000 4895000
702000 5275000
749000 5187000
745000 5130000
153 792
107 151
154 554
123 60500
100 424000
132 430000
124 492000
156 464000
136 416000
127 702000
164 500000
154 1440000
156 1967000
172 787
173 790
794000 582000
601000 872000
397000 1677000
579000 2655000
655000 2792000
496000 2633000
766000 3582000
950000 3530000
917000 3522000
905000 2944000
1156000 2939000
1069000 2993000
1342000 2777000
1336000 2747000
1312000 2715000
153 786
106 87900
155 640000
124 565000
100 582000
170 533
92 489
148 559
133 499
129 497
165 569
148 616
157 762
173 801
172 833
hdd writeback_jac_nodelalloc_1024/
629000 313000
393000 55600
191000 14600
521000 576000
436000 78600
236100 20269
734000 3824000
881000 3864000
700000 3854000
728000 3330000
1027000 3223000
857000 3315000
1189000 2897000
1356000 2867000
1319000 2839000
164 601
0 0
162 547
0 98700
159 551
0 5285
164 576
31 2188
130 585
47 2
135 642
91 71900
109 758000
166 711
167 735
489000 336000
323000 47900
175000 12200
361300 564000
378700 68800
218800 16327
534000 4438000
648000 4450000
614000 4448000
389500 4808000
701000 4659000
596000 4726000
662000 5311000
737000 5217000
697000 5139000
163 608
0 0
162 557
0 0
162 568
1 4
157 546
32 259000
128 2472000
47 664000
134 630
92 86000
109 720
165 731
165 748
605000 357000
368000 64800
186000 11500
447000 444000
467000 68400
244100 20686
782000 3776000
952000 3832000
830000 3806000
499000 3304000
1131000 3163000
909000 3264000
1062000 2913000
1279000 2872000
1242000 2846000
164 596
0 0
161 555
0 15163
161 570
0 2
163 564
31 1
128 629
49 1
134 687
91 102200
109 725
166 733
167 726
hdd writeback_jac_nodelalloc_2048/
713000 429000
511000 77300
286000 20100
560000 847000
559000 661000
350800 22276
740000 3530000
884000 3655000
778000 3692000
779000 3131000
1028000 3004000
943000 3115000
1215000 2808000
1377000 2789000
1364000 2760000
166 636
0 1
162 582
0 0
160 607
0 1
161 644
9 0
155 660
9 1
158 681
72 7352
116 777
167 764
168 764
539000 440000
410000 76000
247000 15300
429000 686000
454000 92900
303000 30122
554000 4676000
644000 4688000
638000 4625000
545000 4984000
689000 4939000
677000 4926000
671000 5286000
745000 5218000
720000 5106000
166 638
0 1
162 583
0 93500
160 614
0 39898
165 464000
8 167300
156 667
18 14
151 696
74 17
113 761
167 765
167 749
704000 418000
488000 80400
283000 13300
552000 657000
584000 93600
358800 33862
796000 3518000
936000 3644000
952000 3604000
824000 3094000
1100000 3008000
1108000 3088000
1112000 2816000
1334000 2792000
1311000 2762000
170 650
0 1
122 579
13 0
145 603
0 1
163 658
16 0
146 649
20 4
154 704
65 6
133 726
172 752
171 782
hdd writeback_jac_nodelalloc_4096/
775000 561000
553000 695000
382000 2878000
576000 3788000
565000 3506000
411000 3875000
709000 3797000
846000 3802000
843000 3810000
753000 3329000
988000 3229000
1021000 3318000
1199000 2900000
1413000 2864000
1396000 2836000
171 751
105 142
145 516
126 122700
104 1451000
165 1731000
101 2590000
134 2559000
149 2009000
125 1070000
162 570000
147 52700
157 974000
173 771
172 794
582000 599000
445000 409000
336000 18300
449000 1105000
482000 611000
385400 1504000
540000 4702000
667000 4672000
548000 4616000
671000 4986000
696000 4844000
687000 4817000
657000 5277000
746000 5195000
743000 5119000
171 765
104 145
146 583
125 544
99 515
169 540
96 481
146 520
135 510
130 474
163 548
147 544
157 674
173 805
172 808
766000 550000
588000 85600
392000 2015000
587000 2089000
636000 2243000
412000 3199000
957000 3778000
975000 3702000
766000 3772000
1080000 3267000
1098000 3275000
1115000 3285000
1101000 2902000
1329000 2873000
1316000 2849000
154 781
108 157
150 558
128 501000
96 2003000
170 1696000
96 584
148 542
135 540
127 577
164 579
153 81000
155 851000
172 799
173 803
hdd writeback_nojac_delalloc_1024/
616000 313000
413000 49400
171000 13100
568000 543000
460000 80300
233200 17676
708000 3662000
820000 3718000
786000 3712000
647000 3136000
973000 3045000
923000 3131000
1131000 2817000
1339000 2784000
1302000 2747000
163 595
0 0
162 556
0 8
159 547
0 1
159 593
32 1
128 603
46 1
134 662
87 223000
113 730
165 730
164 756
493000 350000
304000 68700
176000 15000
329200 517000
382800 70400
221400 19900
547000 4628000
644000 4508000
614000 4589000
435000 4911000
699000 4763000
577000 4798000
654000 5284000
743000 5227000
676000 5138000
163 614
0 0
160 594
0 0
159 579
0 97700
163 603
28 0
133 608
46 1
135 668
88 73000
111 723
164 745
164 752
591000 344000
365000 59800
176000 14000
440000 577000
447000 68900
240100 22943
824000 3615000
985000 3623000
710000 3620000
640000 3099000
1113000 2932000
832000 3051000
1120000 2816000
1258000 2783000
1217000 2759000
162 600
0 0
164 559
0 0
163 565
0 2
159 534
32 414000
128 2418000
45 1047000
137 630
88 383400
111 709
163 738
165 745
hdd writeback_nojac_delalloc_2048/
732000 430000
529000 78000
275000 18600
639000 679000
579000 96200
349200 223900
733000 3417000
852000 3608000
842000 3609000
756000 3024000
999000 2909000
992000 3014000
1186000 2774000
1378000 2743000
1375000 2704000
167 649
0 1
165 595
0 0
162 585
0 1
161 657
11 0
152 652
19 179300
152 723
71 2
118 789
167 789
168 734
526000 447000
411000 68500
252000 19200
428000 691000
452000 85500
301300 26026
560000 4503000
642000 4631000
640000 4605000
563000 4915000
689000 4730000
678000 4791000
666000 5246000
743000 5196000
720000 5119000
166 616
0 1
162 600
0 0
162 564
0 33
161 503
10 1
154 633
13 1
158 742
69 9
115 768
168 782
167 779
685000 410000
507000 60000
281000 23900
563000 2291000
597000 2901000
361300 1336000
804000 3550000
938000 3544000
952000 3532000
815000 2998000
1116000 2908000
1055000 2982000
1110000 2783000
1292000 2759000
1267000 2728000
167 636
0 1
162 571
0 187900
161 610
0 1
159 635
12 0
154 667
22 12
94 677
122 261600
124 787
172 746
173 752
hdd writeback_nojac_delalloc_4096/
753000 559000
553000 92000
377000 711000
556000 2848000
562000 2624000
407000 3147000
746000 3674000
893000 3654000
729000 3648000
922000 3093000
1037000 3027000
884000 3080000
1412000 2779000
1405000 2738000
1384000 2707000
170 758
103 324000
146 562000
126 18709
105 484000
165 439000
99 583000
135 609000
142 877000
126 583000
158 545000
162 696000
155 1335000
173 776
172 760
583000 563000
443000 200000
340000 976000
443000 1361000
484000 607000
394600 861000
556000 4720000
665000 4692000
583000 4638000
625000 4963000
709000 4930000
676000 4887000
688000 5282000
753000 5162000
744000 5120000
171 765
104 145000
145 362000
123 519
101 541
169 565
101 480
145 623
135 484
127 528
164 527
147 606
158 590
172 802
172 800
767000 582000
599000 425000
394000 1315000
588000 2328000
663000 2124000
439000 2332000
888000 3581000
992000 3540000
734000 3551000
1137000 3065000
1101000 3038000
1111000 3051000
1110000 2779000
1333000 2754000
1312000 2738000
154 799
107 164
151 534
124 580
100 498
136 576
113 500
161 571
123 513
133 520
168 497
143 568
161 594
172 793
172 791
hdd writeback_nojac_nodelalloc_1024/
651000 320000
417000 53700
162000 11800
628000 491000
456000 70000
237300 19634
690000 3526000
819000 3754000
796000 3752000
692000 3143000
987000 3052000
931000 3123000
1123000 2854000
1336000 2810000
1324000 2775000
164 604
0 0
161 579
0 0
160 562
1 15469
152 621
41 0
70 628
147 164000
76 662
92 5
142 713
165 735
167 730
476000 343000
326000 53900
169000 11300
373500 467000
384000 71100
220100 23886
528000 4694000
620000 4618000
634000 4547000
452000 4966000
696000 4741000
592000 4820000
640000 5286000
736000 5209000
697000 5119000
96 595
54 0
71 564
44 0
100 559
20 1
158 594
35 4094
83 629
125 1
83 645
91 4
151 731
166 729
167 720
632000 333000
381000 63100
185000 12000
476000 519000
456000 64800
241500 18691
830000 3641000
988000 3650000
736000 3646000
673000 3077000
1113000 3004000
847000 3040000
1170000 2853000
1281000 2830000
1237000 2789000
164 616
0 0
160 572
0 0
163 587
0 2
161 608
29 0
133 623
46 1
137 662
87 67800
113 761
166 742
166 713
hdd writeback_nojac_nodelalloc_2048/
723000 417000
541000 71600
259000 17600
687000 689000
575000 704000
349400 663000
729000 3589000
852000 3608000
842000 3598000
756000 3014000
996000 2931000
993000 3001000
1188000 2783000
1392000 2745000
1369000 2724000
166 635
0 1
162 570
0 86000
163 629
0 48400
161 636
15 0
149 663
19 125000
152 675
71 103100
119 860000
168 776
168 779
530000 445000
397000 91700
248000 154000
444000 1728000
432000 1025000
296200 1331000
552000 4640000
644000 4680000
640000 4622000
561000 4967000
691000 4831000
677000 4907000
678000 5286000
747000 5206000
722000 5125000
165 639
0 1
163 585
0 0
162 596
0 58200
163 566000
14 202000
152 683
13 1
158 691
70 28131
115 765
169 782
168 744
708000 459000
500000 70500
290000 14300
555000 653000
595000 89800
358600 27585
822000 3492000
942000 3527000
958000 3523000
829000 2992000
1091000 2887000
1096000 2978000
1098000 2772000
1313000 2751000
1284000 2728000
167 648
0 1
162 576
0 61400
163 599
0 1
163 639
10 0
154 651
18 1
153 714
72 6
118 747
168 781
168 764
hdd writeback_nojac_nodelalloc_4096/
756000 553000
562000 427000
387000 2583000
547000 3695000
601000 3517000
400000 3641000
720000 3588000
890000 3572000
775000 3586000
777000 3041000
1035000 3007000
967000 3001000
1215000 2837000
1400000 2802000
1392000 2781000
171 752
105 387000
146 2495000
125 3220000
102 2613000
170 2725000
95 2791000
138 2408000
137 2365000
126 2465000
165 598
148 661
158 638
173 788
172 783
581000 576000
446000 76600
331000 363000
460000 1363000
483000 1102000
373400 2540000
590000 4698000
662000 4666000
647000 4558000
555000 4962000
693000 4847000
685000 4765000
677000 5288000
752000 5207000
741000 5106000
171 781
103 147
144 558
125 2904
101 446000
170 408000
96 513
145 592
138 508
127 565
165 563
147 612
159 623
173 800
172 823
765000 583000
600000 1117000
396000 2025000
572000 3299000
657000 3329000
495000 2998000
770000 3558000
954000 3597000
980000 3598000
843000 3082000
1131000 3088000
1053000 3077000
1120000 2834000
1324000 2796000
1315000 2769000
153 774
107 132
153 592
122 489
104 511
166 570
95 476
147 530
133 502
129 504
149 546
158 575
159 563
172 822
173 796
ssd journal_jac_delalloc_1024/
954000 5563000
808000 5492000
632000 5485000
812000 5751000
767000 5717000
593000 5679000
883000 6448000
982000 6446000
961000 6368000
1001000 7623000
1109000 7636000
1093000 7523000
1372000 9959000
1470000 9884000
1446000 9807000
16200 4305000
11700 4338000
15200 4327000
14820 4765000
14028 4772000
15038 4703000
14378 5244000
15023 5268000
16858 5194000
15199 5723000
15604 5770000
17601 5688000
17300 6224000
18800 6261000
18600 6207000
585000 4124000
479000 4085000
394000 4035000
558000 4290000
517000 4265000
440000 4239000
614000 4726000
672000 4681000
658000 4630000
652000 5095000
712000 5099000
701000 5031000
733000 5509000
763000 5511000
753000 5462000
15900 3787000
12000 3811000
14900 3772000
13881 4023000
13776 4051000
15102 3995000
13155 4336000
14659 4352000
17147 4328000
14823 4666000
16821 4686000
17352 4646000
17100 5010000
17600 5046000
18400 4988000
920000 5322000
775000 5298000
600000 5241000
893000 5907000
813000 5881000
640000 5932000
1012000 7008000
1118000 7026000
1086000 6974000
1108000 8223000
1233000 8204000
1203000 8086000
1282000 9346000
1377000 9345000
1360000 9235000
18100 4902000
12300 4922000
15000 4907000
14315 5505000
12170 5501000
15757 5476000
11465 6367000
16322 6356000
12356 6276000
15003 7207000
17483 7238000
15489 7104000
17200 8061000
19300 8096000
18100 8015000
ssd journal_jac_delalloc_2048/
953000 5553000
807000 5522000
626000 5484000
819000 5700000
754000 5704000
592000 5676000
885000 6448000
979000 6426000
958000 6353000
1007000 7629000
1113000 7619000
1093000 7504000
1372000 9952000
1462000 9949000
1439000 9829000
16100 4311000
14400 4365000
13500 4317000
13913 4747000
15221 4761000
14963 4687000
13864 5236000
16907 5260000
14300 5198000
15498 5742000
17879 5774000
16667 5692000
13000 6219000
18900 6246000
19200 6207000
589000 4122000
474000 4071000
390000 4032000
561000 4284000
519000 4262000
443000 4241000
622000 4682000
668000 4672000
658000 4629000
653000 5125000
709000 5074000
701000 5018000
732000 5515000
761000 5503000
752000 5459000
16400 3781000
11700 3808000
15200 3780000
14026 4017000
13510 4035000
16167 4009000
14127 4348000
13611 4354000
17196 4324000
15362 4677000
15872 4702000
17884 4639000
14800 5019000
17400 5038000
18100 4992000
917000 5324000
769000 5255000
604000 5239000
892000 5910000
823000 5925000
639000 5885000
1012000 7026000
1120000 6998000
1090000 6952000
1108000 8268000
1228000 8176000
1205000 8072000
1285000 9362000
1374000 9343000
1358000 9242000
17800 4922000
13600 4939000
15600 4879000
14434 5492000
14300 5515000
16180 5452000
15408 6334000
14004 6366000
17062 6300000
15887 7220000
16402 7268000
17213 7123000
17600 8058000
19100 8109000
19300 8027000
ssd journal_jac_delalloc_4096/
958000 5566000
815000 5485000
633000 5446000
812000 5737000
764000 5702000
591000 5677000
886000 6450000
980000 6442000
957000 6384000
1009000 7628000
1116000 7599000
1092000 7520000
1372000 9937000
1464000 9935000
1439000 9850000
15400 4315000
15500 4345000
14800 4314000
12946 4740000
16184 4756000
14716 4702000
14478 5245000
17045 5282000
14116 5183000
15345 5731000
17875 5763000
15759 5680000
17700 6218000
19400 6247000
18900 6207000
591000 4127000
475000 4094000
390000 4042000
556000 4284000
512000 4264000
441000 4245000
616000 4690000
668000 4680000
657000 4641000
656000 5118000
709000 5093000
693000 5026000
729000 5507000
762000 5509000
753000 5462000
16900 3785000
12900 3822000
15700 3774000
13644 4024000
13642 4039000
15505 4007000
14583 4344000
14620 4370000
17284 4324000
15083 4666000
16338 4690000
15758 4643000
15700 5018000
18700 5040000
18700 4995000
925000 5306000
776000 5235000
597000 5210000
888000 5924000
809000 5872000
644000 5889000
1012000 7014000
1119000 6986000
1092000 6942000
1112000 8246000
1232000 8172000
1207000 8091000
1288000 9348000
1383000 9346000
1355000 9226000
18200 4898000
12400 4921000
14200 4882000
13686 5499000
12611 5521000
15764 5444000
14205 6322000
14413 6364000
17137 6296000
13673 7198000
16405 7256000
17080 7160000
17100 8053000
19600 8093000
19500 8009000
ssd journal_jac_nodelalloc_1024/
699000 4050000
492000 2905000
240000 1656000
692000 4023000
547000 3122000
280100 1704000
850000 3602000
840000 3064000
694000 2006000
999000 2988000
1013000 2827000
887000 2291000
1393000 2767000
1409000 2762000
1393000 2760000
9668 1437000
10900 1560000
12600 1588000
9469 1721000
10336 1659000
13498 1716000
11071 1635000
11775 1706000
13833 1568000
14415 1480000
15874 1584000
14559 1479000
18500 2772000
17700 2758000
17600 2749000
516000 3816000
408000 2717000
205000 1462000
535000 4033000
444000 3176000
253500 1869000
636000 4474000
646000 3696000
552000 2272000
683000 4857000
695000 4442000
641000 3142000
742000 5263000
745000 5253000
743000 5191000
8842 1454000
9763 1629000
11000 1587000
9473 1851000
10390 1723000
10582 1865000
12332 2010000
13374 1984000
13446 1957000
15346 2179000
15008 2191000
14268 2107000
18300 4816000
17400 4783000
16900 4741000
684000 3986000
493000 2820000
236000 1544000
751000 3991000
572000 3159000
292100 1844000
954000 3512000
934000 2970000
760000 2013000
1101000 2991000
1115000 2761000
953000 2224000
1310000 2771000
1332000 2772000
1314000 2761000
9963 1636000
13000 1748000
9776 1766000
10090 1785000
10403 1768000
12608 1784000
10817 1662000
11037 1700000
12955 1621000
14144 1348000
15868 1493000
15213 1516000
18800 2738000
17000 2751000
17500 2748000
ssd journal_jac_nodelalloc_2048/
741000 4188000
597000 4053000
308000 4158000
729000 4039000
624000 3973000
368200 4003000
843000 3596000
860000 3562000
720000 3562000
998000 3000000
1020000 3004000
964000 2975000
1395000 2783000
1391000 2782000
1393000 2776000
10100 3374000
10200 3492000
14100 3402000
11678 3638000
13151 3653000
17519 3627000
11546 3550000
13268 3550000
15727 3540000
16401 3136000
16334 3129000
18427 3127000
21400 2782000
18200 2758000
18400 2759000
548000 3879000
455000 3809000
292000 3805000
550000 4127000
489000 4072000
333400 4076000
634000 4488000
650000 4490000
576000 4436000
680000 4842000
695000 4820000
668000 4763000
724000 5223000
758000 5234000
748000 5198000
10500 3489000
13400 3532000
11100 3550000
12842 3833000
15894 3845000
10685 3807000
12449 4132000
12595 4146000
14184 4108000
14946 4426000
17759 4400000
16271 4414000
19700 4755000
18200 4760000
17800 4727000
717000 4055000
568000 3998000
326000 4040000
772000 4016000
649000 3947000
395900 4000000
950000 3510000
970000 3504000
802000 3488000
1091000 2987000
1120000 2983000
992000 2963000
1300000 2793000
1332000 2793000
1315000 2783000
9484 3758000
12200 3792000
10800 3839000
10985 3900000
14172 3901000
12066 3896000
14305 3508000
16942 3506000
12276 3499000
16825 3004000
17892 3004000
18134 3001000
21100 2803000
18600 2778000
18600 2778000
ssd journal_jac_nodelalloc_4096/
770000 4255000
625000 4140000
376000 4216000
747000 4113000
620000 4091000
436000 4096000
840000 3682000
860000 3674000
720000 3628000
993000 3039000
1023000 3038000
932000 3020000
1375000 2765000
1411000 2770000
1392000 2762000
11900 3502000
11600 3491000
12900 3523000
12628 3705000
14171 3728000
14160 3701000
14018 3637000
13906 3642000
17005 3624000
15081 3184000
14946 3181000
16959 3174000
18600 2801000
17000 2778000
17800 2774000
566000 3947000
453000 3886000
341000 3878000
571000 4162000
492000 4124000
381400 4117000
636000 4516000
649000 4470000
588000 4448000
680000 4868000
695000 4871000
671000 4806000
722000 5236000
748000 5237000
744000 5210000
11200 3585000
11800 3627000
11900 3624000
14424 3889000
12112 3908000
13887 3872000
15186 4182000
13029 4206000
14190 4164000
14276 4467000
18005 4446000
15011 4446000
19000 4783000
18000 4780000
17900 4747000
740000 4126000
600000 4079000
365000 4105000
799000 4110000
652000 4056000
455000 4092000
947000 3571000
971000 3558000
774000 3544000
1083000 3005000
1112000 3006000
988000 2991000
1295000 2777000
1331000 2776000
1317000 2767000
11600 3874000
10000 3888000
10800 3905000
12606 3989000
14043 3985000
14427 3986000
14401 3566000
15516 3564000
15921 3558000
16823 3020000
17873 3020000
19498 3012000
20700 2794000
18600 2767000
18500 2762000
ssd journal_nojac_delalloc_1024/
958000 5512000
805000 5478000
627000 5481000
819000 5721000
757000 5716000
593000 5705000
890000 6446000
984000 6438000
960000 6382000
999000 7620000
1117000 7604000
1092000 7517000
1379000 9945000
1463000 9945000
1449000 9796000
17700 4307000
13700 4346000
14200 4315000
13366 4753000
14044 4753000
15778 4716000
15065 5228000
13305 5270000
15061 5188000
16154 5714000
16284 5751000
16962 5683000
16500 6218000
19200 6246000
19100 6195000
589000 4118000
475000 4081000
392000 4029000
557000 4271000
520000 4272000
437000 4251000
617000 4678000
672000 4676000
652000 4670000
655000 5096000
708000 5100000
700000 5026000
731000 5501000
767000 5505000
758000 5454000
14000 3790000
12400 3822000
15600 3786000
14032 4028000
12896 4051000
16593 3997000
14674 4346000
14129 4362000
16656 4308000
15083 4671000
13666 4678000
18269 4642000
16600 5014000
16800 5030000
17800 4987000
925000 5343000
740000 5269000
598000 5246000
884000 5959000
823000 5901000
640000 5873000
1016000 7014000
1120000 7000000
1091000 6962000
1113000 8218000
1236000 8211000
1204000 8131000
1284000 9339000
1377000 9331000
1364000 9278000
18100 4878000
13700 4946000
15600 4864000
12500 5479000
14310 5517000
16044 5450000
11134 6350000
15319 6350000
17049 6278000
15629 7215000
11277 7240000
15201 7131000
17400 8067000
19500 8082000
19200 7994000
ssd journal_nojac_delalloc_2048/
950000 5523000
810000 5472000
628000 5430000
823000 5745000
749000 5699000
589000 5676000
884000 6422000
979000 6429000
955000 6361000
1007000 7620000
1115000 7604000
1088000 7507000
1376000 9946000
1464000 9920000
1440000 9777000
17900 4315000
13600 4369000
13000 4297000
14566 4732000
13750 4772000
15372 4691000
15369 5224000
14533 5256000
15924 5174000
15333 5718000
15482 5755000
17627 5674000
15900 6211000
19100 6239000
17800 6195000
592000 4088000
478000 4085000
391000 4033000
563000 4287000
516000 4267000
443000 4233000
616000 4684000
672000 4674000
656000 4632000
651000 5090000
712000 5101000
697000 5018000
730000 5511000
767000 5496000
756000 5455000
17700 3780000
13100 3825000
12800 3775000
13490 4024000
13299 4031000
13246 4004000
14832 4340000
11559 4352000
17505 4318000
15472 4663000
15011 4688000
18283 4632000
16900 5015000
18800 5030000
18500 4989000
914000 5283000
782000 5259000
607000 5221000
876000 5915000
845000 5907000
637000 5876000
1006000 7012000
1120000 6990000
1090000 6948000
1116000 8203000
1233000 8183000
1201000 8071000
1283000 9333000
1382000 9334000
1358000 9222000
16600 4896000
13600 4946000
15200 4869000
14715 5496000
14172 5493000
14424 5479000
14928 6344000
15174 6372000
16057 6290000
15014 7212000
15217 7260000
16685 7138000
17000 8069000
18000 8094000
19600 8011000
ssd journal_nojac_delalloc_4096/
953000 5558000
810000 5460000
626000 5427000
824000 5737000
727000 5691000
592000 5697000
882000 6465000
978000 6460000
962000 6370000
1005000 7624000
1117000 7602000
1097000 7506000
1374000 9936000
1473000 9926000
1437000 9809000
16400 4315000
9807 4340000
15900 4302000
14985 4747000
14295 4759000
14850 4709000
15231 5230000
14980 5276000
16817 5192000
15627 5724000
16164 5775000
17610 5686000
17400 6172000
18800 6232000
17200 6201000
588000 4113000
475000 4064000
390000 4029000
564000 4284000
522000 4264000
441000 4228000
617000 4679000
670000 4702000
660000 4652000
655000 5083000
712000 5079000
699000 5022000
731000 5512000
760000 5498000
757000 5452000
17500 3785000
12900 3816000
13300 3768000
14431 4025000
13759 4033000
16294 3990000
14751 4344000
10425 4348000
17455 4316000
15097 4652000
16029 4680000
16957 4634000
16300 5014000
18500 5038000
18800 4988000
904000 5323000
759000 5294000
616000 5249000
880000 5923000
761000 5905000
649000 5861000
1010000 6998000
1116000 6988000
1096000 6966000
1112000 8196000
1225000 8250000
1213000 8135000
1285000 9351000
1375000 9336000
1363000 9222000
18200 4893000
13300 4944000
15900 4889000
13691 5493000
14168 5515000
16968 5463000
12309 6356000
14523 6348000
18232 6290000
15073 7212000
15886 7227000
17203 7142000
17300 8066000
18600 8081000
19100 7999000
ssd journal_nojac_nodelalloc_1024/
713000 4077000
501000 2896000
239000 1584000
693000 4095000
533000 3187000
273500 1863000
849000 3792000
839000 3162000
696000 2136000
1001000 3268000
1016000 2993000
879000 2409000
1391000 2896000
1412000 2895000
1394000 2886000
9759 1480000
8009 1565000
10800 1568000
8950 1700000
11217 1619000
13022 1669000
9942 1710000
11370 1746000
11707 1736000
13079 1622000
14822 1715000
12647 1591000
17500 2951000
17500 2924000
17700 2926000
518000 3822000
402000 2717000
209000 1464000
545000 4041000
444000 3209000
258599 1805000
640000 4464000
644000 3760000
560000 2260000
684000 4875000
696000 4429000
636000 3175000
741000 5286000
752000 5270000
743000 5231000
10600 1542000
8241 1554000
12100 1587000
8599 1701000
9919 1853000
11870 1820000
12334 2034000
11958 1946000
13801 2032000
14411 2263000
15004 2243000
15470 2124000
18400 4766000
17600 4806000
17200 4754000
674000 4028000
493000 2861000
237000 1609000
756000 4141000
561000 3196000
293300 1863000
958000 3734000
944000 3149000
771000 2017000
1096000 3232000
1111000 2991000
964000 2370000
1314000 2902000
1332000 2903000
1311000 2893000
10400 1645000
8575 1855000
11400 1741000
10349 1795000
11346 1891000
13511 1874000
11352 1751000
12122 1796000
14699 1770000
14820 1548000
14289 1593000
15074 1540000
18600 2918000
17700 2867000
16000 2870000
ssd journal_nojac_nodelalloc_2048/
742000 4176000
567000 4064000
306000 4167000
749000 4104000
627000 4020000
374700 4075000
869000 3778000
858000 3762000
722000 3760000
1012000 3303000
1013000 3307000
929000 3281000
1360000 2913000
1408000 2909000
1386000 2895000
10600 3407000
13600 3398000
10700 3458000
14294 3652000
13748 3676000
15239 3665000
16498 3658000
18876 3661000
14077 3646000
16396 3352000
19209 3353000
16162 3344000
21200 3009000
18400 2982000
17500 2979000
551000 3877000
446000 3805000
286000 3838000
554000 4128000
508000 4094000
325400 4095000
628000 4487000
654000 4482000
582000 4426000
673000 4840000
696000 4817000
667000 4782000
733000 5221000
751000 5211000
748000 5180000
10200 3499000
13300 3557000
10500 3554000
13493 3835000
16162 3848000
10403 3809000
11842 4132000
14085 4144000
12863 4116000
15743 4431000
17071 4392000
16275 4400000
20700 4775000
18100 4768000
17600 4738000
721000 4046000
571000 3980000
316000 4042000
774000 4104000
665000 4050000
382600 4079000
948000 3714000
968000 3690000
794000 3700000
1092000 3261000
1117000 3236000
998000 3239000
1297000 2903000
1338000 2899000
1314000 2892000
10800 3755000
13200 3758000
10700 3817000
12628 3944000
14443 3953000
15788 3944000
11065 3678000
13938 3664000
12118 3664000
14130 3265000
15364 3247000
16420 3240000
20300 2921000
17600 2878000
18700 2881000
ssd journal_nojac_nodelalloc_4096/
774000 4259000
623000 4129000
387000 4214000
740000 4095000
612000 4020000
449000 4033000
841000 3634000
861000 3614000
734000 3584000
993000 3024000
1013000 3020000
932000 2985000
1374000 2768000
1404000 2767000
1380000 2759000
11400 3486000
12100 3509000
12300 3512000
12580 3707000
12366 3715000
14020 3687000
14245 3610000
13131 3605000
15439 3580000
16535 3125000
18402 3135000
18141 3124000
21100 2775000
18400 2754000
18200 2753000
564000 3928000
454000 3892000
333000 3883000
572000 4147000
501000 4111000
382900 4100000
630000 4508000
652000 4489000
570000 4458000
679000 4850000
703000 4806000
665000 4796000
730000 5215000
760000 5215000
748000 5164000
11900 3592000
10000 3637000
11400 3626000
11947 3887000
12856 3896000
12464 3867000
15381 4172000
11605 4192000
15989 4148000
15493 4455000
16539 4435000
19082 4440000
20900 4775000
17100 4766000
17900 4726000
734000 4079000
629000 4045000
363000 4070000
792000 4077000
659000 4041000
452000 4053000
949000 3540000
969000 3514000
782000 3488000
1083000 2993000
1109000 2997000
1015000 2971000
1287000 2779000
1319000 2777000
1314000 2769000
12000 3870000
11600 3866000
12400 3884000
12514 3968000
14015 3975000
13760 3944000
15265 3538000
11605 3521000
15069 3508000
16294 2996000
18285 2992000
19076 2980000
20700 2780000
18700 2756000
18500 2753000
ssd ordered_jac_delalloc_1024/
759000 4388000
544000 4314000
251000 4273000
707000 4171000
569000 4110000
300200 4144000
860000 3746000
884000 3732000
826000 3723000
991000 3163000
1033000 3154000
982000 3145000
1378000 2860000
1407000 2860000
1388000 2854000
9492 3457000
9402 3540000
9236 3507000
8876 3712000
10608 3719000
8687 3695000
9975 3664000
11728 3666000
10458 3653000
11730 3263000
13610 3254000
11907 3255000
16200 2884000
17500 2859000
17400 2854000
537000 4030000
423000 3984000
236000 3921000
533000 4224000
457000 4175000
282600 4153000
627000 4590000
664000 4562000
652000 4538000
647000 4903000
701000 4890000
692000 4835000
722000 5212000
758000 5243000
740000 5186000
10200 3534000
8855 3649000
10000 3620000
9796 3891000
9421 3903000
10926 3872000
10364 4166000
10216 4176000
11763 4154000
